bike_type,started_at,ended_at,start_station_name,end_station_name,customer_type,trip_duration,month,hour,day_start,season,weekend,temp,feelslike,dew,humidity,precip,precipprob,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,visibility,condition
Classic Bike,09/07/2022 16:06:59,09/07/2022 16:20:45,Montrose Harbor,DuSable Lake Shore Dr & Wellington Av,Member,"13,76666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:29:42,09/07/2022 17:06:43,Clinton St & Lake St,Franklin St & Lake St,Casual,"37,01666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:20:41,09/07/2022 17:31:09,Clark St & North Av,Sedgwick St & North Av,Casual,"70,46666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:57:34,09/07/2022 17:00:06,Dearborn St & Monroe St,Daley Center Plaza,Member,"2,533333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:00:49,09/07/2022 16:39:24,Michigan Ave & Oak St,Lakefront Trail & Bryn Mawr Av,Member,"38,58333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:49:32,09/07/2022 17:30:29,Damen Ave & Chicago Av,State St & Randolph St,Member,"40,95",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:31:10,09/07/2022 17:36:36,DuSable Lake Shore Dr & Monroe St,Streeter Dr & Grand Av,Casual,"65,43333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:11:24,09/07/2022 16:22:42,Ashland Ave & Wellington Av,Clark St & Grace St,Member,"11,3",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:37:05,09/07/2022 16:41:30,Not Available,Not Available,Casual,"4,416666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:30:03,09/07/2022 16:33:52,Lincoln Ave & Diversey Pkwy,Wilton Ave & Belmont Av,Casual,"3,816666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:02:39,09/07/2022 16:09:03,Western Ave & Roscoe St,Oakley Ave & Irving Park Rd,Member,"6,4",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
